stimulus;colour;congruent;correctresponse;alt1;alt2;Accuracy;RT;Response;Sub_id;Sex
magenta;green;0;right;magenta;green;1;0.9620655000035185;right;oppru;Male
blue;blue;1;right;cyan;blue;1;0.6918985000229441;right;oppru;Male
skyblue;magenta;0;left;magenta;skyblue;1;0.8365245999884792;left;oppru;Male
skyblue;magenta;0;right;skyblue;magenta;1;0.8200822999933735;right;oppru;Male
skyblue;black;0;right;skyblue;black;1;0.7084706000168808;right;oppru;Male
brown;brown;1;right;magenta;brown;1;0.8596812000032514;right;oppru;Male
magenta;magenta;1;left;magenta;brown;1;0.9160589000093751;left;oppru;Male
white;orange;0;right;white;orange;1;0.907659499993315;right;oppru;Male
orange;orange;1;right;black;orange;1;0.7636415000015404;right;oppru;Male
skyblue;white;0;right;skyblue;white;1;1.1796495000016876;right;oppru;Male
blue;blue;1;left;blue;yellow;1;1.1156367000075988;left;oppru;Male
orange;skyblue;0;right;orange;skyblue;1;0.9165007999981754;right;oppru;Male
cyan;cyan;1;left;cyan;blue;1;1.0918495999940205;left;oppru;Male
cyan;yellow;0;right;cyan;yellow;1;0.9155656000075396;right;oppru;Male
cyan;red;0;left;red;cyan;1;1.252060300001176;left;oppru;Male
blue;blue;1;left;blue;red;1;0.9558906999882311;left;oppru;Male
yellow;red;0;left;red;yellow;1;1.043778299994301;left;oppru;Male
yellow;cyan;0;left;cyan;yellow;1;1.2354280999861658;left;oppru;Male
skyblue;green;0;right;skyblue;green;1;1.0522860999917611;right;oppru;Male
black;black;1;right;orange;black;1;0.7873435000074096;right;oppru;Male
yellow;cyan;0;right;yellow;cyan;1;1.3802045000193175;right;oppru;Male
cyan;red;0;right;cyan;red;1;0.9165616999962367;right;oppru;Male
brown;brown;1;left;brown;magenta;1;1.0198645999771543;left;oppru;Male
skyblue;skyblue;1;left;skyblue;green;1;1.7077362000127323;left;oppru;Male
cyan;cyan;1;right;blue;cyan;1;0.6595306000090204;right;oppru;Male
skyblue;orange;0;right;skyblue;orange;1;1.1158157000027131;right;oppru;Male
cyan;yellow;0;left;yellow;cyan;1;0.8199931999843102;left;oppru;Male
white;white;1;right;orange;white;1;1.1796819999872241;right;oppru;Male
blue;blue;1;right;red;blue;1;0.7319735000201035;right;oppru;Male
white;white;1;right;black;white;1;0.7483044999826234;right;oppru;Male
orange;white;0;right;orange;white;1;0.9565132999850903;right;oppru;Male
red;red;1;right;cyan;red;1;0.6107017000031192;right;oppru;Male
skyblue;skyblue;1;right;black;skyblue;1;0.6522998999862466;right;oppru;Male
skyblue;black;0;left;black;skyblue;1;0.6840295000001788;left;oppru;Male
red;red;1;left;red;yellow;1;1.6355782999889925;left;oppru;Male
orange;orange;1;right;white;orange;1;0.7294464999868069;right;oppru;Male
white;skyblue;0;right;white;skyblue;1;1.123803600028623;right;oppru;Male
orange;orange;1;right;skyblue;orange;1;0.7723004000145011;right;oppru;Male
magenta;magenta;1;right;green;magenta;1;0.6439765999966767;right;oppru;Male
yellow;yellow;1;right;cyan;yellow;1;0.6844200000050478;right;oppru;Male
magenta;magenta;1;left;magenta;skyblue;1;0.7880758999963291;left;oppru;Male
magenta;green;0;left;green;magenta;0;0.8347983999992721;right;oppru;Male
white;orange;0;left;orange;white;1;0.8121672999986913;left;oppru;Male
orange;skyblue;0;left;skyblue;orange;1;0.884608099993784;left;oppru;Male
black;black;1;left;black;orange;1;0.8041252999973949;left;oppru;Male
brown;brown;1;right;skyblue;brown;1;0.643957100022817;right;oppru;Male
