stimulus,colour,congruent,correctresponse,alt1,alt2
blue,blue,1,left,blue,yellow
blue,yellow,0,right,blue,yellow
yellow,blue,0,right,yellow,blue
yellow,yellow,1,left,yellow,blue
cyan,red,0,right,cyan,red
red,red,1,left,red,cyan
red,cyan,0,right,red,cyan
blue,blue,1,right,yellow,blue
blue,yellow,0,left,yellow,blue
yellow,blue,0,left,blue,yellow
yellow,yellow,1,right,blue,yellow
cyan,red,0,left,red,cyan
red,red,1,right,cyan,red
red,cyan,0,left,cyan,red
cyan,cyan,1,right,red,cyan
cyan,cyan,1,left,cyan,red
white,white,1,left,white,black
white,black,0,right,white,black
black,white,0,right,black,white
black,black,1,left,black,white
lightblue,orange,0,right,lightblue,orange
white,white,1,right,black,white
white,black,0,left,black,white
black,white,0,left,white,black
black,black,1,right,white,black
lightblue,orange,0,left,orange,lightblue
orange,orange,1,right,lightblue,orange
orange,lightblue,0,left,lightblue,orange
lightblue,lightblue,1,right,orange,lightblue
lightblue,lightblue,1,left,lightblue,orange
brown,brown,1,left,brown,skyblue
brown,skyblue,0,right,brown,skyblue
skyblue,brown,0,right,skyblue,brown
skyblue,skyblue,1,left,skyblue,brown
green,magenta,0,right,green,magenta
magenta,magenta,1,left,magenta,green
magenta,green,0,right,magenta,green
brown,brown,1,right,skyblue,brown
brown,skyblue,0,left,skyblue,brown
skyblue,brown,0,left,brown,skyblue
skyblue,skyblue,1,right,brown,skyblue
green,magenta,0,left,magenta,green
magenta,magenta,1,right,green,magenta
magenta,green,0,left,green,magenta
green,green,1,right,magenta,green
green,green,1,left,green,magenta
blue,blue,1,left,blue,yellow
blue,yellow,0,right,blue,yellow
yellow,blue,0,right,yellow,blue
yellow,yellow,1,left,yellow,blue
cyan,red,0,right,cyan,red
red,red,1,left,red,cyan
red,cyan,0,right,red,cyan
blue,blue,1,right,yellow,blue
blue,yellow,0,left,yellow,blue
yellow,blue,0,left,blue,yellow
yellow,yellow,1,right,blue,yellow
cyan,red,0,left,red,cyan
red,red,1,right,cyan,red
red,cyan,0,left,cyan,red
cyan,cyan,1,right,red,cyan
cyan,cyan,1,left,cyan,red
white,white,1,left,white,black
white,black,0,right,white,black
black,white,0,right,black,white
black,black,1,left,black,white
lightblue,orange,0,right,lightblue,orange
white,white,1,right,black,white
white,black,0,left,black,white
black,white,0,left,white,black
black,black,1,right,white,black
lightblue,orange,0,left,orange,lightblue
orange,orange,1,right,lightblue,orange
orange,lightblue,0,left,lightblue,orange
lightblue,lightblue,1,right,orange,lightblue
lightblue,lightblue,1,left,lightblue,orange
brown,brown,1,left,brown,skyblue
brown,skyblue,0,right,brown,skyblue
skyblue,brown,0,right,skyblue,brown
skyblue,skyblue,1,left,skyblue,brown
green,magenta,0,right,green,magenta
magenta,magenta,1,left,magenta,green
magenta,green,0,right,magenta,green
brown,brown,1,right,skyblue,brown
brown,skyblue,0,left,skyblue,brown
skyblue,brown,0,left,brown,skyblue
skyblue,skyblue,1,right,brown,skyblue
green,magenta,0,left,magenta,green
magenta,magenta,1,right,green,magenta
magenta,green,0,left,green,magenta
green,green,1,right,magenta,green
green,green,1,left,green,magenta
blue,blue,1,left,blue,yellow
blue,yellow,0,right,blue,yellow
yellow,blue,0,right,yellow,blue
yellow,yellow,1,left,yellow,blue
cyan,red,0,right,cyan,red
red,red,1,left,red,cyan
red,cyan,0,right,red,cyan
blue,blue,1,right,yellow,blue
blue,yellow,0,left,yellow,blue
yellow,blue,0,left,blue,yellow
yellow,yellow,1,right,blue,yellow
cyan,red,0,left,red,cyan
red,red,1,right,cyan,red
red,cyan,0,left,cyan,red
cyan,cyan,1,right,red,cyan
cyan,cyan,1,left,cyan,red
white,white,1,left,white,black
white,black,0,right,white,black
black,white,0,right,black,white
black,black,1,left,black,white
lightblue,orange,0,right,lightblue,orange
white,white,1,right,black,white
white,black,0,left,black,white
black,white,0,left,white,black
black,black,1,right,white,black
lightblue,orange,0,left,orange,lightblue
orange,orange,1,right,lightblue,orange
orange,lightblue,0,left,lightblue,orange
lightblue,lightblue,1,right,orange,lightblue
lightblue,lightblue,1,left,lightblue,orange
brown,brown,1,left,brown,skyblue
brown,skyblue,0,right,brown,skyblue
skyblue,brown,0,right,skyblue,brown
skyblue,skyblue,1,left,skyblue,brown
green,magenta,0,right,green,magenta
magenta,magenta,1,left,magenta,green
magenta,green,0,right,magenta,green
brown,brown,1,right,skyblue,brown
brown,skyblue,0,left,skyblue,brown
skyblue,brown,0,left,brown,skyblue
skyblue,skyblue,1,right,brown,skyblue
green,magenta,0,left,magenta,green
magenta,magenta,1,right,green,magenta
magenta,green,0,left,green,magenta
green,green,1,right,magenta,green
green,green,1,left,green,magenta
